,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,n_words,vader_sentiment,rel_char_len
40962,31866810,Brooklyn Best Location! Granite Prospect! Doorman!,236671534,Eva,Brooklyn,Brooklyn Heights,40.69653,-73.99541,Entire home/apt,75,3,1,2019-02-20,0.21,1,94,9,0.8061,1.0
1553,702551,UWS renovated 2bedroom 2bath near everything.,3606458,Mathew,Manhattan,Upper West Side,40.79507,-73.97568,Entire home/apt,900,1,7,2019-01-01,0.09,2,365,7,0.0,0.9
45215,34605017,LOVELY 1 BED APT,197178016,Oscar,Queens,Astoria,40.76452,-73.9251,Entire home/apt,115,2,2,2019-07-01,1.18,1,80,4,0.5859,0.32
11651,9063266,Sunny 1BR in Heart of Williamsburg,47275801,Eric,Brooklyn,Williamsburg,40.71256,-73.95224,Entire home/apt,250,2,1,2015-12-06,0.02,1,0,6,0.4215,0.68
16877,13443794,"Convenient, cozy, and cheap room in Bushwick",60962117,Sayre,Brooklyn,Bushwick,40.68846,-73.90847,Private room,45,5,2,2016-06-24,0.05,1,0,9,0.0,0.88
41674,32402997,Charming private room in Brownstone apartment,237668552,Kim,Brooklyn,Cobble Hill,40.68557,-73.99829,Private room,85,2,11,2019-07-01,2.56,2,111,6,0.5859,0.9
4627,3240518,Elegant 1876 Boerum Hill Brownstone,16395150,Patti,Brooklyn,Boerum Hill,40.68554,-73.98471,Entire home/apt,265,2,10,2016-09-07,0.18,1,0,5,0.4767,0.7
46594,35337180,"3BR/1.5BA East Harlem - Families, Space , Quiet!",20179690,G,Manhattan,East Harlem,40.80211,-73.94365,Entire home/apt,350,1,1,2019-06-24,1.0,1,17,10,0.0,0.96
27743,21771502,Beautiful 5th avenue apartment with balcony,35169885,Boris,Manhattan,Chelsea,40.73649,-73.99237,Entire home/apt,200,10,3,2018-04-29,0.16,1,0,6,0.5994,0.86
45896,34998736,Room steps away from TIMES SQUARE,263676349,Hanna,Manhattan,Murray Hill,40.74616,-73.97522,Private room,119,3,1,2019-07-03,1.0,2,10,6,0.0,0.66
29921,23035874,CHIC & LARGE private bedroom in fancy neighborhood,13126043,Carolle,Manhattan,Midtown,40.74422,-73.98473,Private room,145,2,29,2019-05-15,1.67,2,74,8,0.4278,1.0
9285,7093920,Roosevelt Island Charm,37181980,Svetlana,Manhattan,Roosevelt Island,40.76193,-73.94933,Private room,83,2,178,2019-07-05,3.72,1,255,3,0.4019,0.44
32777,25813849,Simple and Chic Studio Union Square/ East Village,28255971,Katrina,Manhattan,East Village,40.7326,-73.98681,Entire home/apt,200,3,3,2019-06-23,3.0,1,10,8,0.2732,0.98
31394,24395331,"Comfortable king bedroom, office, and kids' room",6059987,Andrew,Brooklyn,Crown Heights,40.67718,-73.95566,Private room,95,1,2,2018-07-20,0.17,1,0,10,0.5106,0.96
18915,15027024,Newly renovated 1bd on lively & historic St Marks,8344620,Ethan,Manhattan,East Village,40.72693,-73.98385,Entire home/apt,180,3,10,2018-12-31,0.3,1,0,9,0.4404,0.98
18149,14205634,Huge 2 Bed Loft Apt in Chic Downtown,1534634,Derek,Manhattan,NoHo,40.7259,-73.99336,Entire home/apt,407,30,12,2018-11-02,0.34,1,120,8,0.5267,0.72
35010,27756576,Brooklyn Bedroom for two friends sharing!!,30532557,Eibhlin,Brooklyn,Bedford-Stuyvesant,40.68925,-73.92805,Private room,42,30,3,2019-05-16,0.36,5,216,8,0.7568,0.84
22250,17941316,Nice private room in New York,121841485,Jessica,Queens,Jackson Heights,40.75236,-73.89172,Private room,70,3,23,2018-11-05,0.85,1,177,6,0.4215,0.58
37546,29792926,Sun-lit downtown apartment in the West Village,224141746,Germaine,Manhattan,West Village,40.73176,-74.00428,Entire home/apt,179,7,3,2019-05-24,0.49,1,10,7,0.0,0.92
1378,609559,Queens Quality Convenient Apartment,3647,Rafael,Queens,Elmhurst,40.73587,-73.88279,Entire home/apt,99,3,48,2019-06-23,0.58,2,301,4,0.0,0.7
34459,27336613,Cozy Loft Apartment in Bushwick,74678395,Gabriela,Brooklyn,Bushwick,40.70624,-73.9177,Entire home/apt,130,5,14,2019-06-30,1.24,1,305,5,0.0,0.62
44277,34148267,"Stunning Private Apt, Perfect Location Premium Bed",14552154,Leslie,Manhattan,Midtown,40.74411,-73.98209,Entire home/apt,239,3,5,2019-06-28,2.5,4,319,8,0.743,1.0
25131,20136828,2 BD cozy house,143199593,Val,Staten Island,Midland Beach,40.57509,-74.09606,Entire home/apt,105,4,20,2019-06-10,1.05,1,358,4,0.0,0.3
19115,15194855,"Clean, Cozy, and Spacious Brooklyn Row House",68538563,Chitra,Brooklyn,Cypress Hills,40.68978,-73.87017,Private room,41,2,8,2016-10-29,0.24,1,0,9,0.4019,0.88
32578,25543561,NYC LUXURY PENTHOUSE MIDTOWN &GYM&AMAZING VIEW,133596333,Talia,Manhattan,Kips Bay,40.74383,-73.97798,Entire home/apt,499,3,11,2019-06-25,0.82,1,55,9,0.0,0.92
40672,31555001,New York Apartment that feels like home,236511564,Mintra,Manhattan,Harlem,40.8041,-73.956,Private room,60,21,2,2019-04-19,0.43,1,35,7,0.3612,0.78
41996,32635722,Sonder | Stock Exchange | Modern 2BR + Kitchen,219517861,Sonder (NYC),Manhattan,Financial District,40.70608,-74.01112,Entire home/apt,416,2,7,2019-06-08,1.72,327,338,9,0.0,0.92
47997,36030151,Cozy Room in the heart of Williamsburg!,153713033,Annalisa,Brooklyn,Williamsburg,40.71432,-73.94805,Private room,48,7,1,2019-06-29,1.0,1,13,8,0.0,0.78
45879,34996136,AMAZING 2 BEDS IN MEATPACKING/CHELSEA MARKET!!,91268177,Beatriz,Manhattan,Chelsea,40.74372,-74.00601,Entire home/apt,447,3,3,2019-06-14,2.2,4,179,8,0.658,0.92
25863,20678183,Great room in the heart of Manhattan !,13287929,Aurélie,Manhattan,East Harlem,40.78602,-73.94977,Private room,100,3,67,2019-07-01,3.06,1,34,8,0.6588,0.76
25902,20692888,Large Bedroom in Williamsburg 10 mins to Manhattan,3879852,Zaki,Brooklyn,Williamsburg,40.71279,-73.94662,Private room,65,3,1,2017-09-20,0.05,1,0,8,0.0,1.0
38361,30208369,"Cozy and home feeling, 1-bedroom apt near subway",117648324,Utah,Brooklyn,Gravesend,40.60626,-73.9754,Private room,40,1,1,2018-12-02,0.14,1,335,9,0.128,0.96
17038,13529652,"Enjoy whole apartment, safe, 25 min ferry to NYC",70537782,Sen & Ti,Staten Island,Tompkinsville,40.63598,-74.07943,Entire home/apt,105,2,132,2019-06-30,3.55,1,318,11,0.7269,0.96
16958,13491503,"Airy, Private, Spacious + Accessible",77317167,Stacey Rae,Brooklyn,Flatbush,40.65253,-73.96404,Entire home/apt,125,2,52,2019-03-06,1.41,2,20,7,0.0,0.72
39870,30979178,Beautiful boutique studio near Central Park,106396058,Anna,Manhattan,Upper East Side,40.76607,-73.96165,Entire home/apt,135,25,1,2018-12-21,0.15,1,0,6,0.5994,0.86
41161,32018080,Master room   套房,240055586,George,Queens,Fresh Meadows,40.7386,-73.79248,Private room,80,1,38,2019-06-26,7.6,5,29,3,0.0,0.32
22290,17981267,⭐️Walk + Transit Score 97⭐️8min to Yankee Std⭐️,123518076,Seana,Bronx,Concourse,40.82097,-73.92739,Entire home/apt,145,2,76,2019-07-01,3.04,1,139,8,0.0,0.94
25180,20167771,【ｱｸｾｽ抜群】空港10分･ﾏﾝﾊｯﾀﾝ10分!駅徒歩5分の好立地なお部屋です,143534216,Hiroko,Queens,Elmhurst,40.7466,-73.88812,Private room,80,2,8,2017-10-14,0.35,1,0,3,0.0,0.78
38545,30319473,Amazing Convenient Cozy Room (girl preferred),47227131,Xiao,Brooklyn,Sunset Park,40.64456,-74.00839,Private room,28,10,1,2019-01-03,0.16,1,0,8,0.5859,0.9
32492,25470017,Humble and Elegant Place of Comfort,40209604,Enoch,Brooklyn,Crown Heights,40.67459,-73.95742,Private room,50,2,60,2019-06-23,4.52,1,7,6,0.6808,0.7
35928,28540537,Cozy Loft Studio with Skylight!,187487947,Diego,Brooklyn,Greenpoint,40.73176,-73.95525,Entire home/apt,52,1,32,2019-05-29,3.47,6,0,6,0.0,0.62
19633,15720621,2 family home. Top floor with private entrance way,101557399,Lydia,Brooklyn,East Flatbush,40.6418,-73.93947,Entire home/apt,120,2,56,2019-07-07,1.82,1,85,10,0.2023,1.0
24287,19555750,Travel Themed Room at Great Location,137264725,Gulcin,Manhattan,Chinatown,40.71391,-73.99162,Private room,60,1,101,2019-06-21,4.13,4,257,6,0.6249,0.72
27593,21703548,Fantastic Room near Central Park and Lincoln Cente,96346005,Yamile,Manhattan,Upper West Side,40.77559,-73.98748,Private room,126,3,77,2019-06-20,3.98,3,45,8,0.5574,1.0
4116,2645558,A bright spacious one-bedroom ,2653156,Lenny,Manhattan,Gramercy,40.73409,-73.98559,Entire home/apt,200,30,38,2019-01-14,0.65,1,170,4,0.4404,0.6
20958,16601801,Spacious One Bedroom in Heart of West Village,10075380,Mike,Manhattan,West Village,40.73233,-74.00329,Entire home/apt,232,5,5,2019-06-14,0.17,1,13,8,0.0,0.9
9498,7286324,"Cozy private room in Astoria, 15 min to Manhattan",97580,Igor,Queens,Long Island City,40.7631,-73.92936,Private room,70,3,137,2019-06-24,2.84,1,8,10,0.0,0.98
2571,1334793,Prime brownstone with lush backyard,671579,Karen,Brooklyn,Carroll Gardens,40.6838,-73.99849,Entire home/apt,495,7,4,2018-12-29,0.08,1,256,5,0.0,0.7
7221,5285867,Spacious Full 1 Bedroom Apartment,11601961,Amy,Brooklyn,Flatbush,40.64858,-73.96378,Entire home/apt,90,3,24,2019-04-07,0.45,1,29,5,0.0,0.66
28373,22037715,Cozy artistic 3 bedroom home 15-20mins from jfk,160940380,Adeola,Queens,St. Albans,40.69863,-73.74941,Entire home/apt,250,3,39,2019-06-17,2.12,3,347,8,0.0,0.94
15267,12224443,La Maison She She (Brownstone Private Apt.),65760387,Shelia,Brooklyn,Bedford-Stuyvesant,40.68445,-73.92142,Entire home/apt,99,2,43,2017-11-01,1.16,1,0,10,0.0,0.86
31917,24912450,"RahShoeRay Cozy, Comfortable and Accommodating.",181397986,Samantha,Brooklyn,Bedford-Stuyvesant,40.68569,-73.93729,Private room,95,1,21,2019-01-04,1.48,2,260,7,0.5106,0.94
24687,19829900,Modern Front Apartment in Brooklyn!,123634626,Livia,Brooklyn,Bensonhurst,40.61889,-73.99895,Entire home/apt,99,3,28,2019-07-04,1.92,1,325,6,0.0,0.7
44650,34337319,1 Bed/ 1 Bath / Columbus Circle/ High Floor,131647128,Emily,Manhattan,Upper West Side,40.77033,-73.98521,Entire home/apt,190,30,1,2019-05-13,0.53,25,189,9,0.0,0.86
27460,21635623,Private & Quiet One Bedroom On The Upper East Side,14538085,Ian,Manhattan,Upper East Side,40.78312,-73.95344,Private room,64,2,7,2017-12-28,0.35,1,0,10,0.0,1.0
7348,5420456,"clean, quiet, 1 bdrm, great locale",28100741,Michael,Manhattan,Upper West Side,40.77529,-73.98192,Entire home/apt,200,6,35,2019-06-24,0.69,1,11,9,0.7783,0.68
9848,7574757,"Family-friendly, cozy guest room",39713675,Quami,Brooklyn,Bedford-Stuyvesant,40.68366,-73.9247,Private room,69,2,186,2019-06-05,3.89,1,6,5,0.0,0.64
36726,29184419,"20 minutes from Manhattan, 1 block from subway",492457,Jay,Queens,Woodside,40.74364,-73.90222,Private room,50,2,14,2019-05-26,1.57,1,308,9,-0.4404,0.92
28748,22214408,"Balcony Duplex and Loft, Steps from the Subway",292137,Brandon,Brooklyn,Bushwick,40.69754,-73.9348,Private room,74,21,2,2018-09-30,0.12,1,0,9,0.0,0.92
28118,21936288,Infinite Bliss,118807152,Melissa,Queens,Elmhurst,40.74361,-73.87732,Private room,30,1,15,2019-06-30,0.77,1,249,2,0.5719,0.28
23540,19055440,Brooklyn - Bushwick - NYC #2,81274648,Ming,Brooklyn,Bushwick,40.69628,-73.93068,Private room,43,2,71,2019-06-22,2.8,4,90,7,0.0,0.56
12504,9614378,"Hip, Young & Fabulous Midtown",49742527,Lumduan,Manhattan,Midtown,40.75246,-73.97171,Entire home/apt,150,4,76,2019-06-21,1.79,1,299,6,0.5267,0.58
10685,8213488,Bed-Stuy Gem with Private Entrance,28025816,Bridgett,Brooklyn,Bedford-Stuyvesant,40.68805,-73.95103,Private room,70,2,255,2019-06-27,5.46,1,11,5,0.0,0.68
5331,3848431,Apt in Harlem 1 month minimun stay,19839188,Dolores,Manhattan,Harlem,40.82019,-73.95448,Entire home/apt,120,25,6,2019-01-23,0.11,1,225,7,0.0,0.68
17688,13893494,Idyllic Two Bedroom Apt in the heart of Chelsea,2700098,Kendall,Manhattan,Chelsea,40.73938,-74.00002,Entire home/apt,350,3,6,2017-05-29,0.17,1,0,9,0.0,0.94
3583,2141635,"Room in Soho, Manhattan",10929586,Chad,Manhattan,SoHo,40.72356,-74.00305,Private room,106,1,1,2014-04-23,0.02,1,0,5,0.0,0.46
22877,18526162,Gone with the Wind,75360607,Fernando,Queens,Sunnyside,40.74215,-73.92633,Entire home/apt,199,5,91,2019-06-21,3.48,2,57,4,0.0,0.36
2911,1672860,New**Beauty**W50's_Luxury&BALCONY!!,2119276,Host,Manhattan,Hell's Kitchen,40.76493,-73.98652,Entire home/apt,150,30,18,2019-04-04,0.27,39,340,11,0.0,0.7
17200,13622049,An urban nest; 7 minutes from Central Park,44700210,Christina,Manhattan,Upper East Side,40.7758,-73.95472,Entire home/apt,200,5,11,2016-11-27,0.3,2,0,9,0.0,0.84
19362,15450724,"15 min  Manhattan. Quiet, Safe, Clean, Good  price",99108929,Melih,Queens,Sunnyside,40.73707,-73.92082,Shared room,30,7,4,2019-05-26,0.43,2,206,12,0.8176,1.0
3248,1937323,"Hell's Kitchen, close to All",10023559,Judson,Manhattan,Hell's Kitchen,40.76247,-73.99225,Entire home/apt,150,21,2,2015-12-17,0.04,1,203,7,0.0,0.56
8042,6197915,LES SUNNY STUDIO on Chrystie Street,1613244,Ariel,Manhattan,Lower East Side,40.72182,-73.99263,Entire home/apt,99,30,8,2019-05-10,0.17,9,197,6,0.5473,0.7
37496,29758404,Entire Apartment in Beautiful Brooklyn Brownstone,223886475,John & Dee,Brooklyn,Carroll Gardens,40.68564,-73.99201,Entire home/apt,170,2,8,2019-06-03,2.79,1,0,6,0.5994,0.98
10695,8225997,Bright 1BD in happening E Village,11004198,Caroline,Manhattan,East Village,40.72057,-73.97997,Entire home/apt,125,31,2,2016-04-01,0.04,1,204,6,0.4404,0.66
43045,33418580,Lavish Private Room with own Bathroom/Williamsburg,251296793,Alex,Brooklyn,Bushwick,40.70103,-73.93979,Private room,80,30,1,2019-05-05,0.46,4,364,6,0.0,1.0
12684,9727332,"Bedroom in Brooklyn, NYC",50199816,Meaghan,Brooklyn,Bushwick,40.70168,-73.92593,Private room,45,1,1,2015-12-23,0.02,1,0,5,0.0,0.48
5042,3624952,Oasis in Queens: Private BR/ bath,2574452,Samita,Queens,Jackson Heights,40.75193,-73.89085,Private room,50,4,2,2014-09-20,0.03,1,0,7,0.0,0.66
3145,1871311,Times Square Modern Apartment,2808971,Frederic,Manhattan,Hell's Kitchen,40.76316,-73.99358,Entire home/apt,200,2,6,2019-06-09,0.09,1,20,4,0.0,0.58
